Seq_name,GFP_1_1,GFP_1_2,GFP_2_1,GFP_2_2,GFP_3_1,GFP_3_2,GFP_4_1,GFP_4_2,GFP_5_1,GFP_5_2,GFP_6_1,GFP_6_2,GFP_7_1,GFP_7_2,GFP_8_1,GFP_8_2
pep3_2cluster_ST_1,1405.0,187.0,2590.0,711.0,613.0,5947.0,2420.0,781.0,2778.0,5169.0,7420.0,1954.0,1476.0,2444.0,10.0,14.0
pep3_2cluster_ST_2,1296.0,471.0,4542.0,1857.0,1591.0,3809.0,2432.0,1911.0,2961.0,4100.0,4931.0,3583.0,3328.0,877.0,3.0,11093.0
pep3_2cluster_ST_3,19.0,230.0,278.0,64.0,126.0,1444.0,1517.0,1136.0,748.0,2203.0,3993.0,258.0,1272.0,3566.0,319.0,8937.0
pep3_2cluster_ST_4,1137.0,329.0,5030.0,1241.0,775.0,2926.0,763.0,2329.0,2534.0,2124.0,1640.0,777.0,0.0,1.0,0.0,1.0
pep3_2cluster_ST_5,1166.0,548.0,2092.0,981.0,1435.0,4382.0,628.0,1239.0,1810.0,1237.0,1990.0,2378.0,2178.0,4211.0,2376.0,3632.0
pep3_2cluster_S_1,4554.0,1472.0,2597.0,1154.0,510.0,2137.0,667.0,581.0,1.0,715.0,0.0,193.0,4.0,199.0,5.0,197.0
pep3_2cluster_S_2,3558.0,2.0,1125.0,1262.0,1759.0,2918.0,874.0,1912.0,2318.0,1462.0,4913.0,994.0,0.0,1.0,0.0,3.0
pep3_2cluster_S_3,1924.0,1056.0,3926.0,1163.0,345.0,1481.0,208.0,697.0,153.0,1054.0,1503.0,430.0,3.0,0.0,5220.0,2.0
pep3_2cluster_S_4,1913.0,909.0,1877.0,2965.0,671.0,914.0,996.0,655.0,340.0,97.0,893.0,108.0,0.0,529.0,6.0,0.0
pep3_2cluster_S_5,2499.0,940.0,5503.0,1613.0,850.0,4530.0,1182.0,1302.0,995.0,1159.0,400.0,346.0,1.0,1.0,7.0,261.0
pep3_3cluster_ED_1,310.0,391.0,1390.0,755.0,353.0,916.0,503.0,1122.0,634.0,863.0,0.0,749.0,0.0,0.0,0.0,1.0
pep3_3cluster_ED_2,133.0,169.0,3751.0,879.0,453.0,3776.0,1163.0,2837.0,3147.0,2636.0,2645.0,1487.0,4648.0,1144.0,1.0,2.0
pep3_3cluster_ED_3,644.0,223.0,1073.0,1089.0,385.0,347.0,20.0,340.0,1083.0,463.0,13.0,0.0,0.0,838.0,0.0,0.0
pep3_3cluster_ED_4,658.0,152.0,1044.0,264.0,389.0,898.0,667.0,849.0,2642.0,1221.0,1.0,1.0,1741.0,197.0,0.0,1.0
pep3_3cluster_ED_5,1010.0,388.0,3484.0,623.0,631.0,1762.0,1812.0,1332.0,4114.0,2270.0,2057.0,1171.0,0.0,1.0,2.0,1.0
pep3_3cluster_LIVM_1,155.0,93.0,338.0,11.0,0.0,223.0,0.0,223.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pep3_3cluster_LIVM_2,366.0,199.0,1246.0,70.0,0.0,286.0,0.0,198.0,11.0,0.0,102.0,76.0,0.0,0.0,0.0,0.0
